compensation,cond,participant,exp,shiftMag,group
-0.118612559,up,sp003,noisyfb,125,noisy
5.410778066,down,sp003,noisyfb,-125,noisy
0.607850134,up,sp006,noisyfb,125,noisy
9.676775384,down,sp006,noisyfb,-125,noisy
-0.317981632,up,sp007,noisyfb,125,noisy
6.73066145,down,sp007,noisyfb,-125,noisy
-2.284141802,up,sp008,noisyfb,125,noisy
6.579337864,down,sp008,noisyfb,-125,noisy
6.288482336,up,sp011,noisyfb,125,noisy
-3.170321119,down,sp011,noisyfb,-125,noisy
-6.873954525,up,sp015,noisyfb,125,noisy
3.853003166,down,sp015,noisyfb,-125,noisy
-7.464816132,up,sp016,noisyfb,125,noisy
0.754185928,down,sp016,noisyfb,-125,noisy
-0.366074229,up,sp047,noisyfb,125,noisy
14.87313194,down,sp047,noisyfb,-125,noisy
-0.091162588,up,sp050,noisyfb,125,noisy
10.0034768,down,sp050,noisyfb,-125,noisy
-11.1474384,up,sp053,noisyfb,125,noisy
-0.428166402,down,sp053,noisyfb,-125,noisy
9.638842453,up,sp054,noisyfb,125,noisy
16.21872557,down,sp054,noisyfb,-125,noisy
7.081084754,up,sp055,noisyfb,125,noisy
1.097657364,down,sp055,noisyfb,-125,noisy
-2.831856163,up,sp057,noisyfb,125,noisy
8.547069155,down,sp057,noisyfb,-125,noisy
-6.764273627,up,sp058,noisyfb,125,noisy
1.683443243,down,sp058,noisyfb,-125,noisy
-4.773651718,up,sp059,noisyfb,125,noisy
9.41590426,down,sp059,noisyfb,-125,noisy
-18.08114588,up,sp062,noisyfb,125,noisy
-0.766214784,down,sp062,noisyfb,-125,noisy
-10.63269009,up,sp066,noisyfb,125,noisy
11.94629272,down,sp066,noisyfb,-125,noisy
-3.09561531,up,sp067,noisyfb,125,noisy
-9.975547959,down,sp067,noisyfb,-125,noisy
0.257410845,up,sp068,noisyfb,125,noisy
12.43297511,down,sp068,noisyfb,-125,noisy
17.53434719,up,sp069,noisyfb,125,noisy
4.079999121,down,sp069,noisyfb,-125,noisy
-9.510185496,up,sp070,noisyfb,125,noisy
6.840160297,down,sp070,noisyfb,-125,noisy
-7.187294722,up,sp071,noisyfb,125,noisy
3.49530695,down,sp071,noisyfb,-125,noisy
1.912078978,up,sp076,noisyfb,125,noisy
-5.094276178,down,sp076,noisyfb,-125,noisy
2.875362007,up,sp077,noisyfb,125,noisy
2.678347781,down,sp077,noisyfb,-125,noisy
-7.19205638,up,sp125,noisyfb,125,noisy
18.78119655,down,sp125,noisyfb,-125,noisy
-2.958450228,up,sp126,noisyfb,125,noisy
10.83482197,down,sp126,noisyfb,-125,noisy
-12.14791442,up,sp131,noisyfb,125,noisy
15.95534129,down,sp131,noisyfb,-125,noisy
-8.282057212,up,sp039,noisyfb,125,noisy
5.595566119,down,sp039,noisyfb,-125,noisy
-7.435558498,up,sp134,noisyfb,125,noisy
11.77188419,down,sp134,noisyfb,-125,noisy
-1.843360363,up,sp138,noisyfb,125,noisy
16.98052818,down,sp138,noisyfb,-125,noisy
-20.29696702,up,sp144,noisyfb,125,noisy
10.70398714,down,sp144,noisyfb,-125,noisy
3.930446211,up,sp147,noisyfb,125,noisy
5.882635559,down,sp147,noisyfb,-125,noisy
11.5313938,up,sp148,noisyfb,125,noisy
0.470867187,down,sp148,noisyfb,-125,noisy
-5.632909874,up,sp139,noisyfb,125,noisy
2.225081617,down,sp139,noisyfb,-125,noisy
0.042227058,up,sp140,noisyfb,125,noisy
-0.047828419,down,sp140,noisyfb,-125,noisy
-0.520429611,up,sp149,noisyfb,125,noisy
3.821165186,down,sp149,noisyfb,-125,noisy
11.41182711,up,sp150,noisyfb,125,noisy
-9.101502793,down,sp150,noisyfb,-125,noisy
-1.683509485,up,sp124,noisyfb,125,noisy
8.058858229,down,sp124,noisyfb,-125,noisy
-0.79346995,up,sp152,noisyfb,125,noisy
1.966176213,down,sp152,noisyfb,-125,noisy
-6.396513415,up,sp153,noisyfb,125,noisy
10.92818477,down,sp153,noisyfb,-125,noisy
8.294540769,up,sp003,noisyfb,125,normal
0.950103257,down,sp003,noisyfb,-125,normal
7.54048155,up,sp006,noisyfb,125,normal
9.609860692,down,sp006,noisyfb,-125,normal
-2.10214046,up,sp007,noisyfb,125,normal
-1.978795865,down,sp007,noisyfb,-125,normal
-8.627523977,up,sp009,noisyfb,125,normal
3.132888788,down,sp009,noisyfb,-125,normal
-10.67907226,up,sp011,noisyfb,125,normal
0.636156121,down,sp011,noisyfb,-125,normal
-5.530951664,up,sp015,noisyfb,125,normal
7.02237371,down,sp015,noisyfb,-125,normal
-2.768931689,up,sp016,noisyfb,125,normal
0.307560613,down,sp016,noisyfb,-125,normal
-9.15821153,up,sp047,noisyfb,125,normal
4.725765469,down,sp047,noisyfb,-125,normal
16.50077872,up,sp050,noisyfb,125,normal
1.105766657,down,sp050,noisyfb,-125,normal
-20.24957624,up,sp053,noisyfb,125,normal
14.66446102,down,sp053,noisyfb,-125,normal
0.44354064,up,sp054,noisyfb,125,normal
16.96181673,down,sp054,noisyfb,-125,normal
5.820741862,up,sp055,noisyfb,125,normal
1.148330725,down,sp055,noisyfb,-125,normal
10.73359708,up,sp057,noisyfb,125,normal
8.202312913,down,sp057,noisyfb,-125,normal
22.59698325,up,sp058,noisyfb,125,normal
-6.520437892,down,sp058,noisyfb,-125,normal
-7.783232736,up,sp059,noisyfb,125,normal
-0.220482018,down,sp059,noisyfb,-125,normal
-10.31240834,up,sp062,noisyfb,125,normal
11.13736817,down,sp062,noisyfb,-125,normal
-12.85321233,up,sp066,noisyfb,125,normal
11.02319812,down,sp066,noisyfb,-125,normal
2.306235906,up,sp067,noisyfb,125,normal
3.702079775,down,sp067,noisyfb,-125,normal
-2.968781741,up,sp068,noisyfb,125,normal
18.1010936,down,sp068,noisyfb,-125,normal
1.425802266,up,sp069,noisyfb,125,normal
8.848833826,down,sp069,noisyfb,-125,normal
-1.332312872,up,sp070,noisyfb,125,normal
7.913607641,down,sp070,noisyfb,-125,normal
1.504535643,up,sp071,noisyfb,125,normal
-0.084465795,down,sp071,noisyfb,-125,normal
2.305337299,up,sp076,noisyfb,125,normal
-2.647818099,down,sp076,noisyfb,-125,normal
-3.953987448,up,sp077,noisyfb,125,normal
13.89185624,down,sp077,noisyfb,-125,normal
-17.46771573,up,sp125,noisyfb,125,normal
14.64476031,down,sp125,noisyfb,-125,normal
2.063296785,up,sp126,noisyfb,125,normal
0.178053717,down,sp126,noisyfb,-125,normal
-6.900507872,up,sp131,noisyfb,125,normal
19.20305516,down,sp131,noisyfb,-125,normal
-6.88187025,up,sp039,noisyfb,125,normal
5.291317309,down,sp039,noisyfb,-125,normal
-5.453653695,up,sp134,noisyfb,125,normal
6.61960593,down,sp134,noisyfb,-125,normal
-3.940055535,up,sp138,noisyfb,125,normal
10.92159161,down,sp138,noisyfb,-125,normal
-6.95297895,up,sp144,noisyfb,125,normal
5.449281096,down,sp144,noisyfb,-125,normal
