oneShot,cond,participant,exp,shiftMag,group
-3.98054364,up,sp003,noisyfb,125,noisy
5.999302071,down,sp003,noisyfb,-125,noisy
5.495200212,up,sp006,noisyfb,125,noisy
9.170102579,down,sp006,noisyfb,-125,noisy
-5.650791836,up,sp007,noisyfb,125,noisy
1.420963857,down,sp007,noisyfb,-125,noisy
-3.433599298,up,sp008,noisyfb,125,noisy
9.609674577,down,sp008,noisyfb,-125,noisy
1.633425404,up,sp011,noisyfb,125,noisy
1.108139617,down,sp011,noisyfb,-125,noisy
4.85481474,up,sp015,noisyfb,125,noisy
-1.270175258,down,sp015,noisyfb,-125,noisy
7.363366716,up,sp016,noisyfb,125,noisy
2.936015225,down,sp016,noisyfb,-125,noisy
9.438456926,up,sp047,noisyfb,125,noisy
6.65122052,down,sp047,noisyfb,-125,noisy
-1.314479827,up,sp050,noisyfb,125,noisy
-6.397581343,down,sp050,noisyfb,-125,noisy
14.88723356,up,sp053,noisyfb,125,noisy
10.95246568,down,sp053,noisyfb,-125,noisy
-16.67163609,up,sp054,noisyfb,125,noisy
-7.686243688,down,sp054,noisyfb,-125,noisy
7.163849339,up,sp055,noisyfb,125,noisy
-9.889782717,down,sp055,noisyfb,-125,noisy
1.174641139,up,sp057,noisyfb,125,noisy
3.107439215,down,sp057,noisyfb,-125,noisy
-2.264148945,up,sp058,noisyfb,125,noisy
-8.04525505,down,sp058,noisyfb,-125,noisy
-5.625893053,up,sp059,noisyfb,125,noisy
14.26228553,down,sp059,noisyfb,-125,noisy
7.19846464,up,sp062,noisyfb,125,noisy
13.57297125,down,sp062,noisyfb,-125,noisy
-7.197427615,up,sp066,noisyfb,125,noisy
0.828033296,down,sp066,noisyfb,-125,noisy
4.599962393,up,sp067,noisyfb,125,noisy
-7.488943108,down,sp067,noisyfb,-125,noisy
-2.871042259,up,sp068,noisyfb,125,noisy
-5.334334098,down,sp068,noisyfb,-125,noisy
1.223358655,up,sp069,noisyfb,125,noisy
3.249953235,down,sp069,noisyfb,-125,noisy
2.271617979,up,sp070,noisyfb,125,noisy
